transientid,ML_PROB
59050.7322373917_DM_171.00_beam_364C_frbid.hdf5,0.9999995
59050.7322374029_DM_170.69_beam_170C_frbid.hdf5,1.0
59050.73224716599_DM_263.10_beam_253C_frbid.hdf5,1.0
59050.7322974123_DM_170.69_beam_211C_frbid.hdf5,0.9999944
59050.732317420996_DM_171.00_beam_232C_frbid.hdf5,1.0
59050.7323174238_DM_170.69_beam_211C_frbid.hdf5,1.0
59050.732317437694_DM_170.38_beam_90C_frbid.hdf5,1.0
59050.7323974586_DM_171.61_beam_188C_frbid.hdf5,1.0
59050.7324174618_DM_170.69_beam_225C_frbid.hdf5,1.0
59050.732417467305_DM_170.69_beam_220C_frbid.hdf5,0.99999917
59050.732477513_DM_170.38_beam_357C_frbid.hdf5,1.0
59050.7324990694_DM_264.33_beam_253C_frbid.hdf5,1.0
59050.732517522_DM_170.69_beam_363C_frbid.hdf5,0.9999989
59050.732527502696_DM_170.38_beam_49C_frbid.hdf5,1.0
59050.732574846_DM_263.71_beam_253C_frbid.hdf5,0.99999213
59050.7326075013_DM_171.00_beam_54C_frbid.hdf5,0.9998398
59050.7492445929_DM_1080.78_beam_64C_frbid.hdf5,0.9867828
59050.7579537686_DM_748.41_beam_89C_frbid.hdf5,0.957338
59050.7621987304_DM_377.61_beam_8C_frbid.hdf5,0.70883
59050.765850531796_DM_380.68_beam_44C_frbid.hdf5,0.95391595
59050.7938521746_DM_483.70_beam_193C_frbid.hdf5,1.0
59050.7944053074_DM_479.13_beam_266C_frbid.hdf5,1.0
59050.7944421458_DM_483.04_beam_362C_frbid.hdf5,1.0
59050.794573826795_DM_485.00_beam_50C_frbid.hdf5,1.0
59050.7948214105_DM_479.13_beam_281C_frbid.hdf5,1.0
59050.7948424538_DM_482.39_beam_326C_frbid.hdf5,1.0
59050.794895182_DM_478.48_beam_125C_frbid.hdf5,1.0
59050.7949109603_DM_481.74_beam_326C_frbid.hdf5,1.0
59050.7949425504_DM_482.39_beam_207C_frbid.hdf5,1.0
59050.794947793096_DM_483.70_beam_334C_frbid.hdf5,1.0
59050.7950532941_DM_477.18_beam_288C_frbid.hdf5,1.0
59050.7951216611_DM_480.44_beam_15C_frbid.hdf5,1.0
59050.7963384477_DM_479.78_beam_383C_frbid.hdf5,1.0
59050.7965017745_DM_479.13_beam_208C_frbid.hdf5,1.0
59050.7965017969_DM_477.83_beam_383C_frbid.hdf5,1.0
59050.7968388467_DM_479.13_beam_148C_frbid.hdf5,1.0
59050.7973919405_DM_479.78_beam_367C_frbid.hdf5,1.0
59050.797391962806_DM_479.13_beam_355C_frbid.hdf5,1.0
59050.797439387_DM_477.18_beam_355C_frbid.hdf5,1.0
59050.7974814513_DM_481.74_beam_157C_frbid.hdf5,1.0
59050.7980135185_DM_477.83_beam_229C_frbid.hdf5,1.0
59050.7981399233_DM_478.48_beam_229C_frbid.hdf5,1.0
59050.7982505499_DM_479.78_beam_205C_frbid.hdf5,1.0
59050.79829794059_DM_479.78_beam_205C_frbid.hdf5,1.0
59050.798361159694_DM_480.44_beam_345C_frbid.hdf5,1.0
59050.7988813918_DM_474.57_beam_228C_frbid.hdf5,1.0
59050.7989180349_DM_479.13_beam_228C_frbid.hdf5,1.0
59050.7989405785_DM_479.78_beam_208C_frbid.hdf5,1.0
59050.799014361204_DM_477.83_beam_157C_frbid.hdf5,1.0
59050.7990880992_DM_478.48_beam_127C_frbid.hdf5,1.0
59050.799161842806_DM_477.18_beam_288C_frbid.hdf5,1.0
59050.7991881121_DM_483.04_beam_63C_frbid.hdf5,1.0
59050.7993830513_DM_478.48_beam_283C_frbid.hdf5,1.0
59053.7046882676_DM_51.88_beam_432C_frbid.hdf5,0.61838454
59053.7047852304_DM_273.54_beam_163C_frbid.hdf5,0.98102057
59053.7049345876_DM_51.58_beam_665C_frbid.hdf5,0.5671453
59053.7050069233_DM_255.73_beam_745C_frbid.hdf5,0.5185972
59053.705264195705_DM_263.10_beam_673C_frbid.hdf5,0.61063313
59053.705774395_DM_334.63_beam_101C_frbid.hdf5,0.7013463
59053.7058737645_DM_272.31_beam_348C_frbid.hdf5,0.589337
59053.7059657154_DM_54.95_beam_507C_frbid.hdf5,0.88243186
59053.7060379448_DM_53.42_beam_27C_frbid.hdf5,0.99013746
59053.706076817005_DM_345.68_beam_578C_frbid.hdf5,0.99826765
59053.7061518944_DM_260.64_beam_176C_frbid.hdf5,0.9364376
59053.706219496504_DM_286.43_beam_376C_frbid.hdf5,0.9146514
59053.7283078999_DM_99.47_beam_0C_frbid.hdf5,1.0
59053.729341827806_DM_99.16_beam_0C_frbid.hdf5,1.0
59053.739606611394_DM_105.30_beam_0C_frbid.hdf5,1.0
59053.73966068059_DM_106.22_beam_0C_frbid.hdf5,1.0
59053.739964694105_DM_105.61_beam_0C_frbid.hdf5,1.0
59053.7427688267_DM_106.53_beam_0C_frbid.hdf5,1.0
59053.744140507995_DM_106.22_beam_0C_frbid.hdf5,1.0
59053.7451877359_DM_106.53_beam_0C_frbid.hdf5,1.0
59053.7452688212_DM_105.92_beam_0C_frbid.hdf5,1.0
59053.745545921396_DM_106.22_beam_0C_frbid.hdf5,1.0
59053.746025602806_DM_106.84_beam_0C_frbid.hdf5,1.0
59053.7460391232_DM_106.53_beam_0C_frbid.hdf5,1.0
59053.74618783889_DM_106.22_beam_0C_frbid.hdf5,1.0
59053.7464513283_DM_106.22_beam_0C_frbid.hdf5,1.0
59053.7472824004_DM_106.22_beam_0C_frbid.hdf5,1.0
59053.747424335495_DM_105.92_beam_0C_frbid.hdf5,1.0
59053.7490324459_DM_106.22_beam_0C_frbid.hdf5,1.0
59053.7493770242_DM_106.22_beam_0C_frbid.hdf5,1.0
59053.789459322805_DM_246.83_beam_108C_frbid.hdf5,0.9867633
59057.8782639112_DM_69.08_beam_469C_frbid.hdf5,0.65105975
59057.8784275491_DM_71.84_beam_152C_frbid.hdf5,0.9526816
59057.8787827484_DM_69.38_beam_679C_frbid.hdf5,0.9999696
59057.878817746605_DM_68.46_beam_282C_frbid.hdf5,0.9065015
59057.8789497394_DM_73.37_beam_365C_frbid.hdf5,0.6421038
59057.8794759173_DM_67.54_beam_577C_frbid.hdf5,0.7088648
59057.9085518889_DM_26.40_beam_186C_frbid.hdf5,0.97036743
59057.9150658121_DM_26.09_beam_580C_frbid.hdf5,0.8112275
59057.9151751433_DM_26.40_beam_568C_frbid.hdf5,0.9820587
59057.915175185895_DM_25.79_beam_604C_frbid.hdf5,0.9940257
59057.9151949463_DM_25.17_beam_712C_frbid.hdf5,0.99295795
59057.915194957_DM_25.17_beam_523C_frbid.hdf5,0.9629427
59057.9153657795_DM_26.09_beam_711C_frbid.hdf5,0.93581814
59057.91642828481_DM_25.17_beam_151C_frbid.hdf5,0.9833304
59057.916428295495_DM_25.48_beam_403C_frbid.hdf5,0.9903814
59057.916428295495_DM_25.48_beam_58C_frbid.hdf5,0.9784207
59088.218265835_DM_452.40_beam_145C_frbid.hdf5,1.0
59088.218520831906_DM_449.79_beam_145C_frbid.hdf5,1.0
59088.218613312594_DM_127.10_beam_159C_frbid.hdf5,1.0
59088.218648383496_DM_448.49_beam_145C_frbid.hdf5,1.0
59088.2192855177_DM_449.79_beam_145C_frbid.hdf5,1.0
59088.219399587804_DM_128.63_beam_120C_frbid.hdf5,1.0
59088.2197733832_DM_128.94_beam_701C_frbid.hdf5,0.9999958
59088.223139058_DM_128.63_beam_436C_frbid.hdf5,0.99996305
59088.2231390598_DM_128.63_beam_180C_frbid.hdf5,1.0
59088.2231433557_DM_128.63_beam_159C_frbid.hdf5,1.0
59088.2235185955_DM_128.63_beam_60C_frbid.hdf5,0.9999987
59088.22351859901_DM_128.33_beam_29C_frbid.hdf5,0.9999875
59088.2236188458_DM_129.25_beam_263C_frbid.hdf5,0.9999999
59088.2236188493_DM_128.63_beam_96C_frbid.hdf5,0.99978024
59088.2236188511_DM_128.63_beam_441C_frbid.hdf5,0.99995756
59088.2240657017_DM_128.63_beam_0I_frbid.hdf5,1.0
59088.224179734694_DM_448.49_beam_145C_frbid.hdf5,1.0
59088.224266202196_DM_128.63_beam_29C_frbid.hdf5,0.9999931
59088.224587697005_DM_449.79_beam_145C_frbid.hdf5,1.0
59088.2248680299_DM_449.79_beam_145C_frbid.hdf5,1.0
59088.2249700648_DM_449.79_beam_145C_frbid.hdf5,1.0
59088.2250309943_DM_129.86_beam_263C_frbid.hdf5,0.99995065
59088.2250310014_DM_128.94_beam_50C_frbid.hdf5,1.0
59088.2250310032_DM_128.63_beam_594C_frbid.hdf5,0.99999
59088.2250310032_DM_128.63_beam_750C_frbid.hdf5,0.9998294
59088.225031005_DM_128.63_beam_554C_frbid.hdf5,1.0
59088.225031005_DM_128.63_beam_598C_frbid.hdf5,0.9999975
59088.2250975419_DM_448.49_beam_145C_frbid.hdf5,1.0
59088.225162776296_DM_127.10_beam_141C_frbid.hdf5,1.0
59088.225326026106_DM_128.63_beam_288C_frbid.hdf5,0.9999144
59088.225326026106_DM_128.63_beam_528C_frbid.hdf5,0.99999833
59088.2253260279_DM_128.63_beam_269C_frbid.hdf5,0.99993217
59088.2253260332_DM_128.63_beam_354C_frbid.hdf5,0.99854374
59088.2255866906_DM_128.63_beam_0I_frbid.hdf5,0.9999999
59088.2296581221_DM_27.94_beam_116C_frbid.hdf5,1.0
59088.229922260194_DM_27.94_beam_538C_frbid.hdf5,0.9999999
59088.2303957777_DM_27.02_beam_116C_frbid.hdf5,1.0
59088.232518982404_DM_27.32_beam_586C_frbid.hdf5,1.0
59088.2332684138_DM_27.94_beam_285C_frbid.hdf5,0.9449569
59088.2332871553_DM_27.02_beam_541C_frbid.hdf5,0.957009
59088.2332986181_DM_27.02_beam_313C_frbid.hdf5,0.99608934
59088.2337400421_DM_27.32_beam_137C_frbid.hdf5,1.0
59088.234098894005_DM_27.63_beam_193C_frbid.hdf5,1.0
59088.2340989046_DM_27.32_beam_45C_frbid.hdf5,1.0
59088.2341637048_DM_27.32_beam_289C_frbid.hdf5,1.0
59088.2341637066_DM_27.32_beam_187C_frbid.hdf5,1.0
59088.2341637083_DM_27.32_beam_207C_frbid.hdf5,1.0
59088.2341637083_DM_27.32_beam_701C_frbid.hdf5,1.0
59088.2341637154_DM_27.02_beam_43C_frbid.hdf5,1.0
59088.2343331752_DM_27.02_beam_212C_frbid.hdf5,1.0
59088.235354878205_DM_27.63_beam_407C_frbid.hdf5,1.0
59088.235354883494_DM_27.32_beam_650C_frbid.hdf5,1.0
59088.235354883494_DM_27.63_beam_691C_frbid.hdf5,0.9999671
59088.235354885306_DM_27.32_beam_289C_frbid.hdf5,1.0
59088.235354885306_DM_27.32_beam_634C_frbid.hdf5,1.0
59088.235354887_DM_27.32_beam_15C_frbid.hdf5,1.0
59088.235354887_DM_27.32_beam_280C_frbid.hdf5,1.0
59088.235354887_DM_27.32_beam_329C_frbid.hdf5,1.0
59088.235354887_DM_27.32_beam_436C_frbid.hdf5,1.0
59088.235354887_DM_27.32_beam_620C_frbid.hdf5,1.0
59088.235354887_DM_27.32_beam_638C_frbid.hdf5,1.0
59088.2353548888_DM_27.32_beam_137C_frbid.hdf5,1.0
59088.2353548888_DM_27.32_beam_18C_frbid.hdf5,1.0
59088.2353548959_DM_27.02_beam_721C_frbid.hdf5,1.0
59088.23556421151_DM_27.32_beam_37C_frbid.hdf5,1.0
59088.235788523896_DM_26.71_beam_202C_frbid.hdf5,1.0
59088.2366906238_DM_27.32_beam_0I_frbid.hdf5,1.0
59088.2366955789_DM_27.63_beam_58C_frbid.hdf5,0.99994266
59088.245360662404_DM_61.09_beam_399C_frbid.hdf5,0.8599462
59088.6424086947_DM_203.23_beam_43C_frbid.hdf5,1.0
59088.643124075_DM_203.54_beam_43C_frbid.hdf5,1.0
59088.6439587784_DM_202.93_beam_43C_frbid.hdf5,1.0
59088.643965014904_DM_203.23_beam_43C_frbid.hdf5,1.0
59088.6442348933_DM_202.31_beam_43C_frbid.hdf5,1.0
59088.646186571794_DM_202.93_beam_43C_frbid.hdf5,1.0
59088.64621796519_DM_202.62_beam_43C_frbid.hdf5,1.0
59088.647227724294_DM_126.18_beam_445C_frbid.hdf5,0.99983895
59088.650657966_DM_130.17_beam_538C_frbid.hdf5,1.0
59088.6521576632_DM_131.09_beam_538C_frbid.hdf5,1.0
59088.65287439401_DM_130.78_beam_538C_frbid.hdf5,1.0
59088.6530203326_DM_131.40_beam_538C_frbid.hdf5,1.0
